ownership_group,PARCELID,OwnerName,TotalAcres,CountyName,OwnerAddre,OwnerAdd_1,OwnerAdd_2,OwnerCity,OwnerState,OwnerZip,match_reason,confidence,include_in_defensible_total,TaxYear,PropertyID,Assessment,PropType,DbaName,CareOfTaxp,LegalDescr,Subdivisio,project_category
CROSSHARBOR / LONE MOUNTAIN,25042511102010000,MOONLIGHT CREEK LLC,205.141,Madison,31 SAINT JAMES AVE STE 740,,,BOSTON,MA,02116-4186,owner-name keyword: MOONLIGHT; expected project geography only,weak_candidate,False,2026,1588564,0028001610,Vacant Land,,PAUL MCCOY FAMILY OFFICE SERVICES LLC,"S03, T06 S, R02 E, C.O.S. 7/2566, PARCEL 14, ACRES 205.141",,Moonlight Basin
CROSSHARBOR / LONE MOUNTAIN,46167519301010000,MOONLIGHT MEADOWS LLC,41.314,Granite,PO BOX 4112,,,MISSOULA,MT,59806-4112,owner-name keyword: MOONLIGHT; geography/name indicates unrelated owner or residential/common-area parcel,unrelated,False,2026,1334809,0001450483,Mining Claim,,,"S19, T08 N, R12 W, C.O.S. 80-M, ACRES 41.314, MINOR SUBD. NO. 80: TRACT A",,Moonlight Basin
CROSSHARBOR / LONE MOUNTAIN,25033705301040000,YSC LLC,28.0,Madison,ATTN HOPE NICULESCU,ACCESS INDUSTRIES,40 W 57TH ST 28TH FLOOR,NEW YORK,NY,10019,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920416,0028800182,Vacant Land,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S05, T07 S, R03 E, Lot 11A, ACRES 28, PLAT 4/513BA",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033602201010000,DYC ESTATES LLC,21.65,Madison,455 N CITYFRONT PLAZA DR STE 1730,,,CHICAGO,IL,60611-5314,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,919394,0028003009,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 3, S02, T07 S, R02 E, Lot 309, ACRES 21.65, PLAT 4/499",YELLOWSTONE MOUNTAIN CLUB PHASE 3,Yellowstone Club
CROSSHARBOR / LONE MOUNTAIN,10018908302010000,MOONLIGHT RANCH E LLC,20.0,Carbon,3708 INGLEWOOD BLVD APT 1,,,LOS ANGELES,CA,90066-3274,owner-name keyword: MOONLIGHT; geography/name indicates unrelated owner or residential/common-area parcel,unrelated,False,2026,36382,0033248033,Improved Property,,,"S08, T09 S, R22 E, TR 1 COS 929",,Moonlight Basin
CROSSHARBOR / LONE MOUNTAIN,10018907401010000,MOONLIGHT RANCH W LLC,20.0,Carbon,3708 INGLEWOOD BLVD APT 1,,,LOS ANGELES,CA,90066-3274,owner-name keyword: MOONLIGHT; geography/name indicates unrelated owner or residential/common-area parcel,unrelated,False,2026,36381,0033248034,Vacant Land,,,"S07, T09 S, R22 E, TR 2 COS 929",,Moonlight Basin
CROSSHARBOR / LONE MOUNTAIN,25033612404017000,EGLISE CONDO MASTER,19.89,Madison,PO BOX 161097,,,BIG SKY,MT,59716-1097,known homeowner/common-area/legacy entity; excluded,unrelated,False,2026,1581644,EGLISEMAST,Non-Valued Property,,,"EGLISE CONDO, S12, T07 S, R02 E, EGLISE VILLAGE SUB, LOT 1,  19.98 ACRES",EGLISE CONDO,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033601401010000,ELLIOTT SCOTT M & MIYUKI,17.46,Madison,PO BOX 1197,,,KAMUELA,HI,96743-1197,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920387,0028800145,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S01, T07 S, R02 E, Lot 189, ACRES 17.46, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033602102170000,GRASSO DONALD PAUL,17.38,Madison,680 S CACHE ST STE 100,BOX 10820,,JACKSON,WY,83001,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,919425,0028003039,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 3, S02, T07 S, R02 E, Lot 339, ACRES 17.38, PLAT 4/499",YELLOWSTONE MOUNTAIN CLUB PHASE 3,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033602102150000,FERUS 338 LLC,14.59,Madison,150 CHARLES ST APT M10,,,NEW YORK,NY,10014-3462,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,919424,0028003038,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 3, S02, T07 S, R02 E, Lot 338, ACRES 14.59, PLAT 4/499",YELLOWSTONE MOUNTAIN CLUB PHASE 3,other CrossHarbor/LMLC
